Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,DummySub_Counts,physics_yield,physics_yield_error,%error/yield
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,11,240,264,6.0,0.013724260998292838,0.0057868043649946695,42.16477933285071
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,12,264,288,86.66666666666666,0.19278125668351695,0.02829251834335525,14.675969453712092
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,13,288,312,199.16666666666669,0.4501111504015077,0.05069313014380827,11.262358219428476
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,14,312,336,250.1666666666667,0.5667673688869969,0.060661926266115856,10.703143758124641
Q3p85_W2p62_t0p21_higheps_right,2,0.236,0.272,15,336,360,245.00000000000006,0.554949255249578,0.05966937289487396,10.752221456363388
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.31,1,0,24,219.66666666666674,0.49700237547900833,0.05477192180222603,11.020454731114139
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.31,2,24,48,251.3333333333334,0.5694359751922206,0.06087955028417827,10.691201985197296
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.31,3,48,72,202.33333333333343,0.45189644152544955,0.052141339536475324,11.53833815563225
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.31,4,72,96,53.5,0.12237466056811112,0.02120141828083219,17.325006813017417
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.31,5,96,120,0.8333333333333334,0.0019061473608740053,0.00232762384810521,122.11143250949652
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.31,6,120,144,1.0,0.0022873768330488064,0.002300059709670436,100.55447254857104
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.31,7,144,168,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.31,8,168,192,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.31,9,192,216,0.0,0.0,0.0,0.0
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.31,10,216,240,1.0,0.0022873768330488064,0.002300059709670436,100.55447254857104
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.31,11,240,264,5.0,0.011436884165244032,0.005254998684477808,45.9478176796388
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.31,12,264,288,64.5,0.14753580573164796,0.02413655429137757,16.359794269385297
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.31,13,288,312,217.00000000000003,0.49090270392421137,0.05417867706321434,11.036540770730564
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.31,14,312,336,281.16666666666663,0.6376760507115099,0.06665853444338327,10.453353919910684
Q3p85_W2p62_t0p21_higheps_right,3,0.272,0.31,15,336,360,264.6666666666667,0.5944762641188253,0.06416129281138311,10.792910782819481
