Physics_Setting,tbin_number,t_min,t_max,phibin_number,phi_min,phi_max,Counts,simc_yield,simc_yield_error,%error/yield
Q3p85_W2p62_t0p21_higheps_center,2,0.208,0.226,5,96,120,336.0,0.035360862790315535,0.0019369206810830833,5.477583204258122
Q3p85_W2p62_t0p21_higheps_center,2,0.208,0.226,6,120,144,380.0,0.03816522833085439,0.001971331663550078,5.165255783250142
Q3p85_W2p62_t0p21_higheps_center,2,0.208,0.226,7,144,168,354.0,0.03462618219577393,0.001858159016962724,5.366341014602266
Q3p85_W2p62_t0p21_higheps_center,2,0.208,0.226,8,168,192,343.0,0.03307165971608488,0.0018018065563101444,5.448189089324143
Q3p85_W2p62_t0p21_higheps_center,2,0.208,0.226,9,192,216,393.0,0.038466942003837955,0.0019553188196069177,5.083114793507189
Q3p85_W2p62_t0p21_higheps_center,2,0.208,0.226,10,216,240,366.0,0.03775120361563593,0.001988613024724865,5.267681118122587
Q3p85_W2p62_t0p21_higheps_center,2,0.208,0.226,11,240,264,382.0,0.04159252810880569,0.0021403766434248874,5.146060460248247
Q3p85_W2p62_t0p21_higheps_center,2,0.208,0.226,12,264,288,342.0,0.03859097528568982,0.002096791534524006,5.433372748424763
Q3p85_W2p62_t0p21_higheps_center,2,0.208,0.226,13,288,312,230.0,0.026879730317663327,0.0017799798655694008,6.622015342169309
Q3p85_W2p62_t0p21_higheps_center,2,0.208,0.226,14,312,336,148.0,0.017718276047116458,0.001462690417644891,8.255263738725501
Q3p85_W2p62_t0p21_higheps_center,2,0.208,0.226,15,336,360,112.0,0.013272586620850488,0.0012584414382430457,9.481508572459454
Q3p85_W2p62_t0p21_higheps_center,3,0.226,0.264,1,0,24,287.0,0.03010191265449961,0.0017832605626874859,5.924077260987353
Q3p85_W2p62_t0p21_higheps_center,3,0.226,0.264,2,24,48,440.0,0.045578393899537765,0.0021832626847190202,4.79012641281588
Q3p85_W2p62_t0p21_higheps_center,3,0.226,0.264,3,48,72,697.0,0.07072174214601028,0.0026939245828812427,3.8091886612739767
Q3p85_W2p62_t0p21_higheps_center,3,0.226,0.264,4,72,96,961.0,0.09210049787430503,0.0029922625497908434,3.2489102869721296
Q3p85_W2p62_t0p21_higheps_center,3,0.226,0.264,5,96,120,970.0,0.08659569263386284,0.002811476689988573,3.246670364859647
Q3p85_W2p62_t0p21_higheps_center,3,0.226,0.264,6,120,144,977.0,0.08116868223419899,0.0026340274411516267,3.2451277619015304
